,property_type,state,region,lat,lon,area_m2
299,apartment,Pernambuco,Northeast,-8.1149776,-34.89895,120
300,apartment,Pernambuco,Northeast,-8.125896,-34.900967,
301,apartment,Pernambuco,Northeast,-8.1299858,-34.903518,98
302,apartment,Pernambuco,Northeast,-8.1221009,-34.905421,66
303,apartment,Pernambuco,Northeast,-8.1250952,-34.902995,134
304,apartment,Pernambuco,Northeast,-8.1389668,-34.906056,
305,apartment,Pernambuco,Northeast,-8.109666,-34.894753,
306,apartment,Pernambuco,Northeast,-8.126271,-34.903793,132
307,house,Pernambuco,Northeast,-8.1603708,-34.9162064,230
308,apartment,Pernambuco,Northeast,-8.111414,-34.894337,158
309,apartment,Pernambuco,Northeast,-8.113888,-34.892437,185
310,apartment,Pernambuco,Northeast,-8.1421704,-34.907805,108
311,apartment,Pernambuco,Northeast,-8.110801,-34.895542,162
312,apartment,Pernambuco,Northeast,-8.152399,-34.920338,
313,apartment,Pernambuco,Northeast,-8.040233,-34.898281,74
314,house,Pernambuco,Northeast,-8.1951499,-35.563776,215
315,apartment,Pernambuco,Northeast,-8.101428,-34.885632,128
316,apartment,Pernambuco,Northeast,-8.089291,-34.903793,170
317,house,Pernambuco,Northeast,-8.1951499,-35.563776,168
318,apartment,Pernambuco,Northeast,-8.206632,-34.921719,134
319,apartment,Pernambuco,Northeast,-8.183491,-34.921719,170
320,apartment,Pernambuco,Northeast,-8.2007221,-34.9213268,180
321,house,Pernambuco,Northeast,-8.049665,-34.931366,100
322,apartment,Pernambuco,Northeast,-8.0449547,-34.8956486,
323,apartment,Pernambuco,Northeast,-8.037121,-34.90073,160
324,apartment,Pernambuco,Northeast,-8.021971,-34.931366,172
325,apartment,Pernambuco,Northeast,-8.0369,-34.884521,65
326,apartment,Pernambuco,Northeast,-8.027162,-34.913445,98
327,apartment,Pernambuco,Northeast,-8.062398,-34.904552,104
328,apartment,Pernambuco,Northeast,-8.046647,-34.905537,
329,apartment,Pernambuco,Northeast,-8.045761,-34.893982,132
330,apartment,Pernambuco,Northeast,-8.027162,-34.913445,129
331,apartment,Pernambuco,Northeast,-8.021971,-34.931366,172
332,house,Pernambuco,Northeast,-7.755484,-34.851379,229
333,apartment,Pernambuco,Northeast,-8.02765,-34.920338,66
334,apartment,Pernambuco,Northeast,-8.040035,-34.899654,
335,apartment,Pernambuco,Northeast,-8.125632,-34.904846,155
336,apartment,Pernambuco,Northeast,-8.1421911,-34.9075669,108
337,apartment,Pernambuco,Northeast,-8.129817,-34.914825,106
338,apartment,Pernambuco,Northeast,-8.029863,-34.909756,157
339,apartment,Pernambuco,Northeast,-8.056418,-34.909309,113
340,apartment,Pernambuco,Northeast,-8.049665,-34.931366,58
341,apartment,Pernambuco,Northeast,-8.0369,-34.884521,65
342,apartment,Pernambuco,Northeast,-8.056418,-34.909309,91
343,apartment,Pernambuco,Northeast,-8.056418,-34.909309,113
344,apartment,Pernambuco,Northeast,-8.067211,-34.90517,167
345,apartment,Pernambuco,Northeast,-8.044486,-34.905376,90
346,apartment,Pernambuco,Northeast,-8.043853,-34.907928,87
347,apartment,Pernambuco,Northeast,-8.043853,-34.907928,
348,apartment,Pernambuco,Northeast,-8.033291,-34.898014,114
349,apartment,Pernambuco,Northeast,-8.0347457,-34.8972145,102
350,apartment,Pernambuco,Northeast,-8.049178,-34.924473,141
351,apartment,Pernambuco,Northeast,-8.0508763,-34.9113739,157
352,apartment,Pernambuco,Northeast,-8.02765,-34.920338,158
353,apartment,Pernambuco,Northeast,-8.037733,-34.901905,58
354,apartment,Pernambuco,Northeast,-8.0343998,-34.9212091,
355,apartment,Pernambuco,Northeast,-8.0343998,-34.9212091,200
356,apartment,Pernambuco,Northeast,-8.0436724,-34.9090946,90
357,apartment,Pernambuco,Northeast,-8.0369,-34.884521,69
358,apartment,Pernambuco,Northeast,-8.0330615,-34.8950223,
359,apartment,Pernambuco,Northeast,-8.033406,-34.893208,59
360,apartment,Pernambuco,Northeast,-8.0331805,-34.8968813,136
361,apartment,Pernambuco,Northeast,-8.206293,-34.936878,
362,apartment,Pernambuco,Northeast,-8.14068,-34.905975,150
363,apartment,Pernambuco,Northeast,-8.03368,-34.906895,198
364,apartment,Pernambuco,Northeast,-8.034929,-34.892761,102
365,apartment,Pernambuco,Northeast,-8.040233,-34.898281,180
366,apartment,Pernambuco,Northeast,-8.048381,-34.908379,111
367,apartment,Pernambuco,Northeast,-8.040233,-34.898281,170
368,apartment,Pernambuco,Northeast,-8.0343998,-34.9212091,
369,apartment,Pernambuco,Northeast,-8.029489,-34.9040282,75
370,apartment,Pernambuco,Northeast,-8.117513,-34.899639,106
371,apartment,Pernambuco,Northeast,-8.021971,-34.931366,204
372,apartment,Pernambuco,Northeast,-8.050071,-34.89138,208
373,apartment,Piau’,Northeast,-5.144143,-42.770873,108
374,apartment,Piau’,Northeast,-5.084227,-42.821615,
375,apartment,Piau’,Northeast,-5.086528,-42.797088,103
376,apartment,Piau’,Northeast,-5.092011,-42.80376,100
377,apartment,Piau’,Northeast,-5.064457,-42.79275,60
378,apartment,Piau’,Northeast,-5.078955,-42.807716,76
379,apartment,Piau’,Northeast,-5.078955,-42.807716,100
380,apartment,Piau’,Northeast,-5.078955,-42.807716,
381,apartment,Piau’,Northeast,-5.078955,-42.807716,72
382,house,Piau’,Northeast,-5.051253,-42.749144,236
383,apartment,Piau’,Northeast,-5.06999,-42.749367,70
384,apartment,Piau’,Northeast,-5.078903,-42.787226,162
385,house,Piau’,Northeast,-5.074453,-42.736429,115
386,apartment,Piau’,Northeast,-5.086306,-42.781749,
387,apartment,Piau’,Northeast,-5.070009,-42.74717,79
388,apartment,Piau’,Northeast,-5.076423,-42.76101,74
389,apartment,Piau’,Northeast,-5.095419,-42.791474,78
390,house,Piau’,Northeast,-5.085659,-42.729751,115
391,apartment,Piau’,Northeast,-5.061773,-42.759066,76
392,apartment,Piau’,Northeast,-5.068983,-42.786101,130
393,apartment,Piau’,Northeast,-5.075868,-42.753926,75
394,apartment,Piau’,Northeast,-5.06923,-42.785126,108
395,apartment,Piau’,Northeast,-5.089212,-42.801628,205
396,apartment,Piau’,Northeast,-5.063854,-42.762544,180
397,apartment,Piau’,Northeast,-5.063854,-42.762544,
398,apartment,Piau’,Northeast,-5.073011,-42.793678,60
399,apartment,Piau’,Northeast,-5.078955,-42.807716,
400,apartment,Piau’,Northeast,-5.069056,-42.783318,141
401,apartment,Piau’,Northeast,-5.044685,-42.766233,77
402,apartment,Rio Grande do Norte,Northeast,-5.852388,-35.208324,92
403,apartment,Rio Grande do Norte,Northeast,-5.864574,-35.212097,64
404,apartment,Rio Grande do Norte,Northeast,-5.864574,-35.212097,87
405,apartment,Rio Grande do Norte,Northeast,-5.780723,-35.198303,214
406,apartment,Rio Grande do Norte,Northeast,-5.780723,-35.198303,150
407,apartment,Rio Grande do Norte,Northeast,-5.886141,-35.180965,56
408,apartment,Rio Grande do Norte,Northeast,-5.816717,-35.201107,166
409,apartment,Rio Grande do Norte,Northeast,-5.816717,-35.201107,142
410,apartment,Rio Grande do Norte,Northeast,-5.864764,-35.190559,141
411,apartment,Rio Grande do Norte,Northeast,-5.824264,-35.210854,81
412,apartment,Rio Grande do Norte,Northeast,-5.824264,-35.210854,119
413,apartment,Rio Grande do Norte,Northeast,-5.816746,-35.216221,86
414,apartment,Rio Grande do Norte,Northeast,-5.816746,-35.216221,101
415,apartment,Rio Grande do Norte,Northeast,-5.866949,-35.23719,89
416,apartment,Rio Grande do Norte,Northeast,-5.824444,-35.218132,99
417,apartment,Rio Grande do Norte,Northeast,-5.812777,-35.221756,91
418,apartment,Rio Grande do Norte,Northeast,-5.818406,-35.208733,136
419,apartment,Rio Grande do Norte,Northeast,-5.862752,-35.199493,67
420,house,Rio Grande do Norte,Northeast,-5.126,-35.640933,180
421,apartment,Rio Grande do Norte,Northeast,-6.002884,-35.110754,
422,apartment,Rio Grande do Norte,Northeast,-5.887895,-35.203171,83
423,apartment,Rio Grande do Norte,Northeast,-5.887895,-35.203171,77
424,apartment,Rio Grande do Norte,Northeast,-5.887895,-35.203171,77
425,apartment,Rio Grande do Norte,Northeast,-5.887895,-35.203171,
